POSICAO;CO_ESCOLA;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
7420;29442567.0;Santo Estêvão;BA;Privada;Urbana;15;531.68;519.95;500.9;546.35;706.67;561.11
7421;35126792.0;Santa Fé do Sul;SP;Privada;Urbana;17;546.66;532.71;516.2;531.1;678.82;561.1
7422;27050556.0;Batalha;AL;Federal;Urbana;76;533.68;508.54;512.17;506.65;744.47;561.1
7423;50033182.0;Jardim;MS;Federal;Urbana;48;552.6;520.51;518.64;559.11;654.58;561.09
7424;27037169.0;Maceió;AL;Privada;Urbana;10;553.0;531.62;534.74;532.07;654.0;561.09
7425;52046273.0;Formosa;GO;Estadual;Urbana;155;544.92;517.17;500.32;534.34;708.65;561.08
7426;21195516.0;São Luís;MA;Privada;Urbana;49;552.01;537.42;504.22;561.48;650.2;561.07
7427;25133039.0;Itabaiana;PB;Privada;Urbana;10;519.93;497.12;466.22;500.07;822.0;561.07
7428;41008316.0;Umuarama;PR;Estadual;Urbana;20;567.66;529.6;503.19;555.88;649.0;561.07
7429;50082833.0;Corumbá;MS;Federal;Urbana;109;552.25;530.16;526.04;558.34;638.53;561.06
7430;43018980.0;Centenário;RS;Estadual;Urbana;12;544.32;546.15;478.78;552.59;683.33;561.04
7431;33060568.0;Nova Iguaçu;RJ;Privada;Urbana;21;543.97;487.97;501.7;543.91;727.62;561.04
7432;23545410.0;Acaraú;CE;Estadual;Rural;84;492.01;498.27;464.9;543.82;806.19;561.04
7433;35299376.0;São Sebastião da Grama;SP;Privada;Urbana;11;551.06;520.55;509.69;512.95;710.91;561.03
7434;60020212.0;Bauru;SP;Privada;Urbana;6;576.77;546.65;488.17;546.82;646.67;561.01
7435;35022248.0;Barretos;SP;Estadual;Urbana;108;555.85;535.21;516.41;562.31;635.19;560.99
7436;60020899.0;Osasco;SP;Privada;Urbana;2;542.85;537.9;530.3;543.85;650.0;560.98
7437;29182590.0;Salvador;BA;Privada;Urbana;12;547.1;528.53;511.96;568.93;648.33;560.97
7438;22106954.0;Água Branca;PI;Privada;Urbana;16;522.72;499.58;483.09;549.44;750.0;560.97
7439;35154726.0;Pontal;SP;Privada;Urbana;11;538.71;504.33;546.8;553.14;661.82;560.96
7440;52031799.0;Aparecida de Goiânia;GO;Privada;Urbana;21;541.8;531.8;497.66;535.42;698.1;560.96
7441;35405231.0;Cajamar;SP;Estadual;Urbana;122;567.44;540.33;510.08;552.54;634.43;560.96
7442;43077595.0;Itaqui;RS;Estadual;Urbana;69;559.13;519.13;502.58;528.03;695.94;560.96
7443;60025764.0;Penha;SC;Estadual;Urbana;1;565.6;565.7;585.8;527.7;560.0;560.96
7444;27220214.0;Rio Largo;AL;Privada;Urbana;9;543.83;499.7;522.89;558.34;680.0;560.95
7445;35135586.0;Guarulhos;SP;Privada;Urbana;32;560.8;534.17;511.45;547.49;650.62;560.91
7446;41114400.0;Rebouças;PR;Estadual;Rural;13;544.62;531.46;516.24;555.28;656.92;560.9
7447;13031660.0;Manaus;AM;Privada;Urbana;18;549.01;522.34;520.81;551.18;661.11;560.89
7448;60008616.0;Feira de Santana;BA;Privada;Urbana;4;557.22;524.35;501.8;516.05;705.0;560.88
7449;31128139.0;Abre Campo;MG;Estadual;Urbana;10;524.78;524.29;504.12;515.23;736.0;560.88
7450;15172732.0;Barcarena;PA;Privada;Urbana;19;535.7;501.8;517.06;509.78;740.0;560.87
7451;27213587.0;União dos Palmares;AL;Privada;Urbana;29;535.2;506.27;509.09;526.82;726.9;560.85
7452;35418961.0;Duartina;SP;Privada;Urbana;20;543.31;512.3;494.34;522.22;732.0;560.84
7453;35295188.0;São Paulo;SP;Privada;Urbana;27;560.18;536.12;516.64;531.96;659.26;560.83
7454;15166716.0;Ananindeua;PA;Federal;Urbana;58;537.45;519.99;524.96;516.57;705.17;560.83
7455;51065339.0;Sorriso;MT;Federal;Urbana;57;555.53;527.84;527.89;558.09;634.74;560.82
7456;52033457.0;Goiânia;GO;Estadual;Urbana;400;548.66;535.52;510.36;541.07;668.5;560.82
7457;60027682.0;Bataguassu;MS;Estadual;Rural;3;535.87;533.77;500.5;633.93;600.0;560.81
7458;22054820.0;Bertolínia;PI;Estadual;Urbana;20;546.29;521.21;483.44;530.1;723.0;560.81
7459;23323426.0;Fortaleza;CE;Estadual;Urbana;119;549.41;537.51;519.71;533.46;663.87;560.79
7460;43078583.0;Jaboticaba;RS;Estadual;Urbana;18;552.91;535.88;491.98;545.36;677.78;560.78
7461;35189182.0;Socorro;SP;Privada;Urbana;26;556.01;532.0;510.62;573.7;631.54;560.77
7462;35583303.0;Praia Grande;SP;Privada;Urbana;13;554.87;534.09;513.52;539.65;661.54;560.73
7463;29343410.0;Salvador;BA;Privada;Urbana;27;541.84;539.59;505.12;552.64;664.44;560.73
7464;50030094.0;Sonora;MS;Privada;Urbana;9;522.96;529.32;515.14;547.36;688.89;560.73
7465;31020907.0;Tarumirim;MG;Estadual;Urbana;27;525.1;542.07;500.5;544.82;691.11;560.72
7466;35107612.0;São Paulo;SP;Privada;Urbana;30;538.11;518.05;493.68;556.42;697.33;560.72
7467;43015093.0;Antônio Prado;RS;Estadual;Urbana;17;548.28;519.82;512.81;583.82;638.82;560.71
7468;52029735.0;Sanclerlândia;GO;Estadual;Urbana;33;513.6;491.03;493.61;534.37;770.91;560.7
7469;29025028.0;Juazeiro;BA;Estadual;Urbana;138;540.07;520.4;518.85;536.99;687.1;560.68
7470;60023513.0;Nova Aurora;PR;Estadual;Urbana;2;560.25;603.7;560.0;609.4;470.0;560.67
7471;42061857.0;Maravilha;SC;Estadual;Urbana;73;554.48;529.56;520.29;547.72;651.23;560.66
7472;43050506.0;Viamão;RS;Federal;Urbana;72;567.68;548.99;515.78;529.15;641.67;560.65
7473;35308833.0;Guarulhos;SP;Privada;Urbana;43;552.89;523.68;515.93;567.02;643.72;560.65
7474;31069604.0;Rio Preto;MG;Estadual;Urbana;15;527.98;523.03;528.17;510.72;713.33;560.65
7475;31122629.0;Rio Paranaíba;MG;Estadual;Urbana;81;551.49;525.06;515.52;551.61;659.51;560.64
7476;51065088.0;Rondonópolis;MT;Privada;Urbana;10;545.1;509.57;513.07;555.35;680.0;560.62
7477;43162800.0;Rio Grande;RS;Privada;Urbana;37;550.89;527.93;512.71;560.18;651.35;560.61
7478;32017391.0;Pedro Canário;ES;Estadual;Urbana;17;544.67;526.89;511.75;572.62;647.06;560.6
7479;21228671.0;Arari;MA;Privada;Urbana;39;533.83;519.03;510.37;545.78;693.85;560.57
7480;60021702.0;São Paulo;SP;Privada;Urbana;7;538.04;526.39;490.73;584.84;662.86;560.57
7481;35028794.0;São José do Rio Preto;SP;Estadual;Urbana;65;561.69;522.01;506.18;555.07;657.85;560.56
7482;60020432.0;Embu das Artes;SP;Privada;Urbana;5;569.84;549.44;529.04;622.44;532.0;560.55
7483;52077810.0;Anápolis;GO;Estadual;Urbana;151;540.99;515.07;495.36;528.86;722.38;560.53
7484;35802050.0;São Paulo;SP;Privada;Urbana;27;562.21;533.64;513.53;537.64;655.56;560.52
7485;25111973.0;Teixeira;PB;Privada;Urbana;19;539.91;509.13;505.39;534.47;713.68;560.52
7486;42066670.0;Palhoça;SC;Federal;Urbana;89;566.68;540.04;520.98;554.68;620.22;560.52
7487;52103870.0;Goiânia;GO;Privada;Urbana;10;569.93;523.64;514.27;558.7;636.0;560.51
7488;52099067.0;Goiânia;GO;Privada;Urbana;11;570.72;502.06;521.63;509.96;698.18;560.51
7489;26176840.0;Petrolina;PE;Privada;Urbana;10;548.26;560.12;535.83;580.3;578.0;560.5
7490;60023855.0;Lapa;PR;Estadual;Rural;6;552.5;535.47;519.95;574.58;620.0;560.5
7491;60016265.0;Mangaratiba;RJ;Privada;Urbana;6;523.8;496.48;521.92;536.9;723.33;560.49
7492;33055033.0;Nilópolis;RJ;Estadual;Urbana;56;531.14;517.0;488.79;513.19;752.14;560.45
7493;43045596.0;Chapada;RS;Estadual;Urbana;49;543.84;516.52;496.95;527.4;717.55;560.45
7494;31277843.0;Pedralva;MG;Privada;Urbana;11;530.89;522.8;499.17;583.95;665.45;560.45
7495;31014184.0;Contagem;MG;Municipal;Urbana;99;548.18;538.3;491.41;548.79;675.56;560.45
7496;24078450.0;Natal;RN;Privada;Urbana;58;554.95;548.49;519.1;526.9;652.76;560.44
7497;32029993.0;Marechal Floriano;ES;Estadual;Urbana;54;537.83;529.9;499.19;569.23;665.93;560.41
7498;60019867.0;Franco da Rocha;SP;Privada;Urbana;9;560.16;532.24;482.83;535.69;691.11;560.41
7499;29422264.0;Salvador;BA;Privada;Urbana;26;553.83;517.54;523.05;542.21;665.38;560.4
7500;43085580.0;Marau;RS;Estadual;Urbana;83;552.34;516.26;490.91;553.72;688.67;560.38
7501;35108868.0;Santo André;SP;Privada;Urbana;41;549.8;523.5;504.18;534.1;690.24;560.36
7502;41355008.0;Cascavel;PR;Estadual;Urbana;21;555.64;540.65;506.89;580.55;618.1;560.36
7503;35126123.0;São Paulo;SP;Privada;Urbana;8;557.09;560.55;521.09;555.59;607.5;560.36
7504;31019321.0;Caratinga;MG;Estadual;Urbana;67;540.16;525.25;510.93;544.24;681.19;560.36
7505;33075131.0;Rio de Janeiro;RJ;Privada;Urbana;12;574.7;535.7;514.8;541.59;635.0;560.36
