POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
1246;SANTO ANTONIO DO LEVERGER;MT;Federal;Rural;49;525.8;582.64;541.21;551.54;518.37;543.91
1247;PARELHAS;RN;Privada;Urbana;22;526.46;566.4;503.39;556.77;566.36;543.88
1248;MACAPA;AP;Privada;Urbana;855;536.82;579.15;514.15;496.75;592.02;543.78
1249;CANOINHAS;SC;Privada;Urbana;31;541.68;588.08;522.55;544.96;521.61;543.78
1250;JARAGUA;GO;Privada;Urbana;54;540.43;572.32;526.9;515.87;563.33;543.77
1251;JAGUARIAIVA;PR;Privada;Urbana;45;541.41;572.3;529.49;536.02;539.56;543.75
1252;SAO CAITANO;PE;Privada;Urbana;28;522.65;568.7;503.62;528.61;595.0;543.72
1253;IPU;CE;Privada;Urbana;55;537.17;565.46;525.57;512.49;577.82;543.7
1254;ARACI;BA;Privada;Urbana;19;527.53;558.41;523.9;532.69;575.79;543.66
1255;MUQUI;ES;Privada;Urbana;7;541.44;583.46;483.46;555.54;554.29;543.64
1256;BARRA DO MENDES;BA;Privada;Urbana;12;539.32;569.74;478.76;505.39;625.0;543.64
1257;ABADIANIA;GO;Privada;Rural;64;539.7;578.98;513.29;522.39;563.75;543.62
1258;PORTO FRANCO;MA;Privada;Urbana;12;538.29;575.02;505.16;544.52;555.0;543.6
1259;ROSANA;SP;Privada;Urbana;28;529.27;587.71;528.06;511.31;561.43;543.56
1260;DOIS VIZINHOS;PR;Privada;Urbana;46;538.6;576.95;532.98;553.52;515.65;543.54
1261;JAPERI;RJ;Municipal;Urbana;1;551.0;554.8;545.5;546.2;520.0;543.5
1262;RIO PARDO;RS;Privada;Urbana;9;543.71;572.17;510.7;504.01;586.67;543.45
1263;COTIPORA;RS;Estadual;Urbana;19;531.16;576.67;512.45;513.82;583.16;543.45
1264;GUAJARA-MIRIM;RO;Privada;Urbana;30;540.83;574.5;522.45;507.96;571.33;543.41
1265;AGUDO;RS;Estadual;Rural;12;525.38;550.73;524.62;542.86;573.33;543.38
1266;MONTEIRO;PB;Federal;Urbana;48;540.7;582.42;518.58;500.77;574.17;543.33
1267;IGUAPE;SP;Privada;Urbana;31;534.55;568.93;519.05;513.25;580.65;543.28
1268;BELA VISTA DO PARAISO;PR;Privada;Urbana;23;535.59;579.57;531.52;522.02;546.96;543.13
1269;BARRA DO GARCAS;MT;Federal;Urbana;73;544.68;583.97;513.82;511.6;561.37;543.09
1270;AGUA BOA;MT;Privada;Urbana;30;535.03;576.74;516.33;512.45;574.67;543.05
1271;CAMPO MAIOR;PI;Privada;Urbana;91;536.37;569.89;520.7;528.63;559.56;543.03
1272;MONGAGUA;SP;Privada;Urbana;37;544.02;577.24;503.75;514.95;575.14;543.02
1273;POTIRENDABA;SP;Privada;Urbana;6;505.53;557.57;504.17;561.17;586.67;543.02
1274;PORTO NACIONAL;TO;Privada;Urbana;90;533.4;577.49;535.07;512.66;556.22;542.97
1275;PARACAMBI;RJ;Privada;Urbana;64;545.43;578.01;503.19;504.99;583.23;542.97
1276;PENEDO;AL;Federal;Urbana;33;534.16;574.25;511.67;529.2;565.45;542.95
1277;SANTA MARIA;RS;Privada;Rural;58;543.31;580.42;519.23;511.39;560.34;542.94
1278;CACHOEIRO DE ITAPEMIRIM;ES;Municipal;Urbana;1;531.7;564.3;416.8;581.8;620.0;542.92
1279;TABULEIRO DO NORTE;CE;Privada;Urbana;17;537.05;565.28;510.95;521.21;580.0;542.9
1280;CIDADE OCIDENTAL;GO;Privada;Urbana;46;554.62;574.12;505.51;508.94;571.3;542.9
1281;AQUIDAUANA;MS;Federal;Urbana;21;532.57;573.4;520.43;520.42;567.62;542.89
1282;SAO FRANCISCO DE PAULA;RS;Privada;Urbana;15;542.17;587.97;512.05;541.07;530.67;542.79
1283;GUARABIRA;PB;Privada;Urbana;334;534.49;572.49;518.76;511.45;576.59;542.76
1284;PARAIPABA;CE;Privada;Urbana;24;534.1;577.52;516.91;532.37;552.5;542.68
1285;CANDELARIA;RS;Privada;Urbana;48;540.02;573.34;493.79;514.82;591.25;542.64
1286;RINCAO;SP;Privada;Urbana;8;537.75;559.83;513.02;514.5;587.5;542.52
1287;SAO JOAQUIM;SC;Privada;Urbana;15;552.51;586.66;514.59;499.8;558.67;542.44
1288;BOM PRINCIPIO;RS;Estadual;Urbana;70;536.44;568.47;505.85;508.31;593.14;542.44
1289;JAPERI;RJ;Privada;Urbana;23;539.44;582.19;507.19;499.92;583.48;542.44
1290;IMBITUVA;PR;Privada;Urbana;19;543.65;590.56;529.46;561.1;487.37;542.43
1291;CORONEL VIVIDA;PR;Privada;Urbana;22;531.3;581.94;521.49;542.75;534.55;542.41
1292;SAO BORJA;RS;Privada;Urbana;22;525.4;581.17;513.64;506.36;585.45;542.41
1293;BIRIGUI;SP;Federal;Urbana;1;563.8;573.9;455.0;559.3;560.0;542.4
1294;FLORESTA;PE;Federal;Urbana;52;538.03;579.29;522.97;518.8;552.69;542.36
1295;SANTA INES;MA;Federal;Urbana;109;523.72;571.54;511.43;530.4;574.5;542.32
1296;BROTAS;SP;Privada;Urbana;46;552.07;574.33;528.2;528.97;527.83;542.28
1297;SAO JOSE DOS PINHAIS;PR;Privada;Urbana;436;539.85;579.16;517.36;530.23;543.79;542.08
1298;ACARAU;CE;Privada;Urbana;30;527.41;558.35;520.84;521.35;582.0;541.99
1299;VILA RICA;MT;Privada;Urbana;9;540.19;572.18;547.31;532.1;517.78;541.91
1300;PALMITAL;SP;Privada;Urbana;22;542.45;587.0;530.88;529.18;520.0;541.9
1301;ICARA;SC;Privada;Urbana;9;535.63;572.4;529.79;516.09;555.56;541.89
1302;RITAPOLIS;MG;Estadual;Urbana;42;545.61;586.79;500.99;505.43;570.48;541.86
1303;APARECIDA DE GOIANIA;GO;Privada;Urbana;770;533.67;577.93;524.99;518.63;553.79;541.8
1304;NOVA PADUA;RS;Estadual;Urbana;13;544.18;559.13;531.96;498.18;575.38;541.77
1305;ITARANTIM;BA;Privada;Urbana;6;533.62;594.35;511.73;498.88;570.0;541.72
1306;NAO-ME-TOQUE;RS;Privada;Urbana;11;539.05;585.02;483.95;552.85;547.27;541.63
1307;MARIALVA;PR;Privada;Urbana;27;529.54;566.13;518.0;492.91;601.48;541.61
1308;NAZARE;BA;Privada;Urbana;26;524.42;579.57;517.45;500.16;586.15;541.55
1309;VOTUPORANGA;SP;Federal;Urbana;13;538.32;579.42;513.22;504.41;572.31;541.54
1310;BRASILIA;DF;Privada;Rural;106;532.37;572.99;507.53;463.88;630.94;541.54
1311;BATATAIS;SP;Privada;Urbana;85;539.13;574.37;524.61;523.36;545.88;541.47
1312;NAVEGANTES;SC;Privada;Urbana;54;531.89;568.98;514.12;530.48;561.85;541.46
1313;PEDREIRAS;MA;Privada;Urbana;110;534.43;578.34;527.44;507.54;559.27;541.4
1314;CORONEL PILAR;RS;Estadual;Urbana;9;498.81;563.18;513.04;591.69;540.0;541.34
1315;GRAJAU;MA;Privada;Urbana;7;542.63;570.69;492.0;501.36;600.0;541.33
1316;CORRENTE;PI;Federal;Urbana;65;537.0;590.95;508.62;501.7;568.31;541.31
1317;POCO DAS ANTAS;RS;Estadual;Urbana;15;506.7;570.59;495.81;579.99;553.33;541.29
1318;CAPAO DA CANOA;RS;Privada;Urbana;36;540.69;575.75;513.14;520.68;556.11;541.28
1319;JURUAIA;MG;Estadual;Urbana;41;538.53;560.74;511.19;535.35;560.49;541.26
1320;PARNAIBA;PI;Privada;Urbana;609;532.73;570.45;522.06;509.72;570.99;541.19
1321;SAO MATEUS DO SUL;PR;Privada;Urbana;39;545.63;577.9;517.77;560.13;504.1;541.1
1322;LARANJAL DO JARI;AP;Federal;Urbana;69;530.67;583.7;521.93;502.54;566.52;541.07
1323;FORMOSA;GO;Privada;Urbana;182;546.01;580.74;521.07;517.73;539.78;541.07
1324;VISCONDE DO RIO BRANCO;MG;Municipal;Urbana;75;534.8;568.22;523.49;539.85;538.93;541.06
1325;ARACATI;CE;Privada;Urbana;199;536.21;570.53;508.17;507.85;582.41;541.04
1326;SAIRE;PE;Privada;Rural;13;538.09;570.4;508.94;505.76;581.54;540.95
1327;PINHAIS;PR;Privada;Urbana;167;537.72;576.68;508.51;525.58;555.93;540.88
1328;TIMBAUBA;PE;Privada;Urbana;78;529.06;571.35;519.68;510.9;573.33;540.87
1329;BALNEARIO ARROIO DO SILVA;SC;Municipal;Urbana;3;554.97;587.4;525.7;482.93;553.33;540.87
1330;NAZARE DA MATA;PE;Privada;Urbana;79;530.18;567.07;518.89;489.62;598.48;540.85
1331;PIRACAIA;SP;Privada;Urbana;21;548.6;570.73;499.59;518.54;566.67;540.82
1332;CEDRO;CE;Federal;Urbana;30;535.72;576.15;495.61;513.13;583.33;540.79
1333;CUBATAO;SP;Privada;Urbana;61;545.39;573.6;512.37;539.13;533.44;540.79
1334;PARAGUACU PAULISTA;SP;Estadual;Rural;63;547.14;588.07;522.86;518.53;527.3;540.78
1335;SUME;PB;Privada;Urbana;14;529.5;543.44;491.94;493.26;645.71;540.77
1336;CAXIAS;MA;Privada;Urbana;77;534.45;585.05;524.36;503.39;556.62;540.77
1337;JANUARIA;MG;Privada;Urbana;25;532.24;574.49;507.09;528.0;561.6;540.68
1338;CAMPO LARGO;PR;Privada;Urbana;184;536.63;569.99;514.73;524.8;557.07;540.64
1339;JACAREZINHO;PR;Privada;Urbana;63;547.85;576.33;507.26;504.13;567.62;540.64
1340;LOANDA;PR;Privada;Urbana;59;532.63;574.16;521.35;507.56;567.46;540.63
1341;AURORA;SC;Estadual;Urbana;30;529.51;575.36;508.59;529.89;559.33;540.54
1342;FLORES DA CUNHA;RS;Estadual;Urbana;129;527.62;567.07;511.8;520.04;576.12;540.53
1343;SAO FELIPE;BA;Privada;Urbana;9;552.5;558.09;526.53;505.13;560.0;540.45
1344;BATAGUASSU;MS;Privada;Urbana;10;544.34;556.77;552.53;532.54;516.0;540.44
1345;ITABAIANA;PB;Municipal;Urbana;2;576.3;610.45;469.75;495.6;550.0;540.42
1346;PRATA;MG;Privada;Urbana;17;546.12;579.79;514.79;516.39;544.71;540.36
1347;ITANHAEM;SP;Privada;Urbana;36;557.31;577.27;525.59;521.61;520.0;540.35
1348;CUITE;PB;Privada;Urbana;37;540.38;573.33;517.53;505.06;565.41;540.34
1349;CACAPAVA DO SUL;RS;Privada;Urbana;10;558.41;583.35;510.89;520.98;528.0;540.33
1350;VITORIA DE SANTO ANTAO;PE;Privada;Urbana;324;538.82;574.61;516.18;512.18;559.75;540.31
1351;QUEDAS DO IGUACU;PR;Privada;Urbana;6;545.4;578.22;564.95;479.22;533.33;540.22
1352;SANTO ANASTACIO;SP;Privada;Urbana;44;534.93;562.9;521.8;514.47;566.82;540.18
1353;ANTONIO CARLOS;SC;Estadual;Urbana;101;524.83;566.49;492.72;526.19;590.5;540.14
1354;SENHORA DE OLIVEIRA;MG;Estadual;Urbana;33;526.25;574.7;511.98;513.66;573.94;540.11
1355;SOMBRIO;SC;Privada;Urbana;11;554.53;581.05;519.15;523.94;521.82;540.1
1356;SIMOES FILHO;BA;Municipal;Urbana;1;542.0;578.4;509.7;410.4;660.0;540.1
1357;JAGUARUANA;CE;Privada;Urbana;24;535.4;586.32;527.21;512.4;538.92;540.05
1358;MORRINHOS;GO;Federal;Rural;35;536.85;579.09;531.34;492.69;560.29;540.05
1359;TOMAZINA;PR;Privada;Urbana;8;529.25;569.99;503.15;525.08;572.5;539.99
1360;ARAGUAINA;TO;Privada;Urbana;267;529.57;570.87;527.7;515.33;556.45;539.98
1361;ALVARENGA;MG;Estadual;Urbana;15;532.11;572.57;492.91;526.17;576.0;539.95
1362;NOVO ORIENTE DE MINAS;MG;Privada;Urbana;11;499.19;571.31;511.8;559.17;558.18;539.93
1363;VISTA ALEGRE DO PRATA;RS;Estadual;Urbana;7;537.76;575.86;507.76;481.06;597.14;539.91
1364;RIO LARGO;AL;Privada;Urbana;67;532.21;568.82;506.8;506.67;584.93;539.88
1365;BELO JARDIM;PE;Privada;Urbana;95;535.98;565.31;514.02;512.58;571.16;539.81
1366;JUAZEIRO;BA;Privada;Urbana;210;528.55;569.75;514.73;501.19;584.67;539.78
1367;ITUMBIARA;GO;Privada;Urbana;246;536.19;574.74;518.24;514.56;554.96;539.74
1368;FLORESTAL;MG;Estadual;Urbana;114;529.73;579.12;521.82;542.14;525.79;539.72
1369;MOGI GUACU;SP;Municipal;Urbana;105;540.37;570.99;522.24;517.88;546.29;539.55
1370;RUBIATABA;GO;Privada;Urbana;1;534.1;609.1;477.6;456.9;620.0;539.54
1371;RIO REAL;BA;Privada;Urbana;36;525.69;571.63;500.16;494.13;606.11;539.54
1372;ALTO PARAISO DE GOIAS;GO;Privada;Rural;1;579.7;634.8;559.9;482.5;440.0;539.38
1373;CAMPO NOVO DO PARECIS;MT;Federal;Rural;31;527.77;576.44;522.83;508.36;561.29;539.34
1374;CHAPADAO DO CEU;GO;Privada;Urbana;12;533.88;568.7;506.24;510.67;576.67;539.23
1375;PONTALINA;GO;Privada;Urbana;25;522.44;548.53;537.99;514.94;572.0;539.18
1376;AMERICO BRASILIENSE;SP;Privada;Urbana;16;536.82;555.15;519.39;524.4;560.0;539.15
1377;VOLTA REDONDA;RJ;Municipal;Urbana;160;537.22;576.93;509.23;519.95;552.38;539.14
1378;JUSSARA;GO;Privada;Urbana;25;521.64;575.06;529.3;491.62;577.6;539.04
1379;VALENCA;BA;Federal;Urbana;110;536.35;583.68;509.98;499.7;565.45;539.03
1380;TREMEMBE;SP;Privada;Urbana;37;536.46;570.6;504.36;490.1;593.51;539.01
1381;MATA DE SAO JOAO;BA;Municipal;Urbana;1;512.4;512.8;448.4;461.4;760.0;539.0
1382;VIAMAO;RS;Privada;Urbana;216;539.77;576.19;507.42;506.28;565.0;538.93
1383;MINACU;GO;Privada;Urbana;47;535.58;574.36;519.91;523.3;540.85;538.8
1384;BARCARENA;PA;Privada;Urbana;139;526.64;565.74;516.41;483.67;601.55;538.8
1385;PIANCO;PB;Privada;Urbana;33;522.87;569.94;501.89;469.48;629.7;538.77
1386;AMAMBAI;MS;Privada;Urbana;11;527.05;575.54;521.53;569.28;500.0;538.68
1387;JABOATAO DOS GUARARAPES;PE;Privada;Urbana;955;537.01;569.86;510.48;512.47;563.58;538.68
1388;NOVA PONTE;MG;Municipal;Urbana;28;538.21;577.5;503.55;531.08;542.14;538.49
1389;RIO GRANDE;RS;Privada;Urbana;312;541.57;573.86;508.15;516.13;552.24;538.39
1390;MACHADINHO D OESTE;RO;Privada;Urbana;6;547.95;588.03;513.23;498.7;543.33;538.25
1391;SALGUEIRO;PE;Federal;Rural;41;539.02;578.19;513.85;538.16;521.95;538.24
1392;BENEVIDES;PA;Privada;Urbana;42;535.68;576.72;515.22;477.3;586.19;538.22
1393;TORRE DE PEDRA;SP;Estadual;Urbana;4;551.6;572.55;507.02;474.65;585.0;538.16
1394;NILOPOLIS;RJ;Privada;Urbana;347;537.28;573.13;505.99;501.91;572.1;538.08
1395;GUAIBA;RS;Privada;Urbana;74;541.55;578.11;502.99;524.06;543.24;537.99
1396;LUCELIA;SP;Privada;Urbana;10;517.26;553.96;519.13;525.42;574.0;537.95
1397;SALGUEIRO;PE;Privada;Urbana;23;520.78;570.81;508.27;509.77;580.0;537.93
1398;CRUZ DAS ALMAS;BA;Privada;Rural;33;524.78;572.95;493.71;531.09;566.67;537.84
1399;TOBIAS BARRETO;SE;Privada;Urbana;51;525.46;570.45;516.31;504.91;571.76;537.78
1400;ITAI;SP;Privada;Urbana;17;534.97;579.61;522.69;526.61;524.71;537.72
1401;SAPEZAL;MT;Privada;Urbana;21;540.14;580.37;532.86;547.13;487.62;537.62
1402;CAMARAGIBE;PE;Privada;Urbana;195;533.85;561.17;514.06;523.81;555.08;537.59
1403;RONDONOPOLIS;MT;Privada;Urbana;261;530.76;566.8;514.94;505.3;569.66;537.49
1404;COLINAS DO TOCANTINS;TO;Privada;Urbana;44;512.2;554.06;528.85;503.08;589.09;537.46
1405;BACABAL;MA;Federal;Urbana;97;543.7;578.94;508.69;521.56;533.2;537.22
1406;PELOTAS;RS;Privada;Urbana;866;536.81;576.26;513.29;513.92;545.77;537.21
1407;IBEMA;PR;Privada;Urbana;7;562.61;565.13;499.61;529.96;528.57;537.18
1408;SERTANOPOLIS;PR;Privada;Urbana;37;518.85;572.37;514.82;534.15;545.41;537.12
1409;BALNEARIO PICARRAS;SC;Privada;Urbana;23;531.76;570.49;519.26;535.22;528.7;537.08
1410;VARGEM GRANDE DO SUL;SP;Privada;Urbana;33;536.82;569.39;519.7;509.52;549.55;537.0
1411;PINHEIRAL;RJ;Privada;Urbana;12;538.51;565.61;486.94;527.01;566.67;536.95
1412;PAULISTANA;PI;Privada;Urbana;7;529.09;579.79;550.04;477.29;548.57;536.95
1413;CEREJEIRAS;RO;Privada;Urbana;8;540.0;567.67;522.26;532.21;522.5;536.93
1414;PE DE SERRA;BA;Privada;Urbana;10;534.94;572.86;488.14;522.3;566.0;536.85
1415;ARARICA;RS;Privada;Urbana;3;565.4;567.43;513.47;464.6;573.33;536.85
1416;POUSO ALEGRE;MG;Municipal;Rural;32;538.97;570.17;506.75;501.33;566.88;536.82
1417;PONTA PORA;MS;Privada;Urbana;80;529.85;561.76;511.54;521.17;559.75;536.81
1418;ZE DOCA;MA;Federal;Urbana;60;506.26;571.78;518.78;511.07;575.67;536.71
1419;ESPLANADA;BA;Privada;Urbana;20;537.06;587.34;503.96;496.84;558.0;536.64
1420;PORTO FELIZ;SP;Privada;Urbana;56;536.98;565.35;501.69;527.69;551.43;536.63
1421;NOVA ANDRADINA;MS;Federal;Rural;60;520.34;570.71;514.22;530.43;547.33;536.6
1422;NOVA SOURE;BA;Privada;Urbana;17;541.03;572.08;521.25;507.62;540.0;536.4
1423;PETROPOLIS;RJ;Municipal;Urbana;156;536.17;574.92;504.41;506.82;559.49;536.36
1424;MACAU;RN;Federal;Urbana;64;529.59;577.46;514.12;507.17;553.44;536.35
1425;CHIADOR;MG;Estadual;Urbana;13;528.41;570.25;500.81;496.07;586.15;536.34
1426;ARMACAO DOS BUZIOS;RJ;Municipal;Urbana;113;543.16;579.97;492.27;489.18;576.99;536.32
1427;ARARANGUA;SC;Federal;Urbana;1;559.8;558.7;561.8;601.3;400.0;536.32
1428;ITAGUARA;MG;Estadual;Urbana;83;536.17;573.43;509.2;526.61;536.14;536.31
1429;QUATRO BARRAS;PR;Privada;Urbana;129;535.62;582.19;514.54;517.11;532.09;536.31
1430;IGUATU;CE;Federal;Urbana;48;535.96;565.47;504.9;495.19;580.0;536.3
1431;IBIRAMA;SC;Federal;Urbana;30;539.61;584.88;503.57;519.2;534.0;536.25
1432;LADARIO;MS;Privada;Urbana;9;550.94;596.9;506.98;488.31;537.78;536.18
1433;RIO BRANCO;AC;Federal;Urbana;43;537.02;574.02;511.76;503.86;553.95;536.12
1434;TEIXEIRAS;MG;Privada;Urbana;9;541.26;586.43;506.36;461.99;584.44;536.1
1435;ENTRE RIOS DE MINAS;MG;Estadual;Urbana;125;530.14;564.66;515.27;521.7;548.64;536.08
1436;URUBICI;SC;Privada;Urbana;11;534.62;570.61;491.65;527.04;556.36;536.05
1437;LAPA;PR;Privada;Urbana;20;528.19;553.69;527.07;550.11;521.0;536.01
1438;ASSAI;PR;Privada;Urbana;64;532.88;571.5;500.97;530.6;544.06;536.0
1439;CAMBORIU;SC;Privada;Urbana;26;539.13;586.07;507.38;517.2;530.0;535.95
1440;ARRAIAL DO CABO;RJ;Privada;Urbana;9;543.51;556.08;508.48;495.92;575.56;535.91
1441;SAO SIMAO;SP;Privada;Urbana;31;529.3;558.39;520.17;527.02;544.52;535.88
1442;PERITIBA;SC;Estadual;Urbana;15;532.23;587.98;519.77;476.69;562.67;535.87
1443;ANTONIO PRADO;RS;Estadual;Urbana;71;536.17;571.03;496.79;509.15;566.2;535.87
1444;SANTA MARIA DA VITORIA;BA;Privada;Urbana;44;542.25;573.93;505.25;494.67;563.18;535.86
1445;CRISTALINA;GO;Privada;Urbana;40;537.17;570.39;530.0;495.19;546.5;535.85
1446;RIO TINTO;PB;Privada;Urbana;12;540.84;571.23;501.8;503.62;561.67;535.83
1447;JULIO DE CASTILHOS;RS;Federal;Rural;63;530.34;566.03;517.7;521.65;543.17;535.78
1448;ENTRE RIOS;BA;Privada;Urbana;16;502.18;566.11;518.48;526.74;565.0;535.7
1449;TRIUNFO;RS;Municipal;Rural;1;580.2;584.7;508.4;425.0;580.0;535.66
1450;ONCA DE PITANGUI;MG;Estadual;Urbana;6;505.95;556.6;506.07;536.1;573.33;535.61
1451;COXIM;MS;Federal;Urbana;30;522.49;565.95;516.25;497.89;575.33;535.58
1452;BATURITE;CE;Privada;Urbana;30;528.76;567.53;505.34;501.48;574.67;535.55
1453;DOM PEDRO;MA;Privada;Urbana;60;532.46;571.7;508.12;513.27;552.0;535.51
1454;FAXINAL DOS GUEDES;SC;Estadual;Rural;3;518.53;589.27;505.23;477.73;586.67;535.49
1455;CONCEICAO DO JACUIPE;BA;Privada;Urbana;53;539.11;571.74;513.2;481.92;571.13;535.42
1456;VILA MARIA;RS;Estadual;Urbana;29;543.62;574.04;479.75;482.38;597.24;535.4
1457;ESTEIO;RS;Privada;Urbana;69;541.74;581.23;503.81;506.07;544.06;535.38
1458;SAO GONCALO DO RIO ABAIXO;MG;Estadual;Urbana;45;536.16;582.57;499.74;519.59;538.67;535.35
1459;CERES;GO;Federal;Rural;146;526.46;579.72;521.03;527.55;521.92;535.34
1460;NOVA ALVORADA;RS;Estadual;Urbana;16;508.64;565.72;503.95;525.45;572.5;535.25
1461;ITAPEMA;SC;Privada;Urbana;86;532.66;572.22;529.17;511.75;530.23;535.21
1462;VANINI;RS;Estadual;Urbana;19;521.04;552.1;507.21;559.73;535.79;535.17
1463;AGUDOS;SP;Privada;Urbana;53;544.08;574.31;505.49;516.66;534.34;534.97
1464;NOVO XINGU;RS;Estadual;Urbana;17;534.22;553.54;523.96;518.33;544.71;534.95
1465;JUINA;MT;Federal;Rural;61;515.73;581.47;525.54;504.77;547.21;534.94
1466;CORDEIROPOLIS;SP;Privada;Urbana;15;531.05;554.05;521.31;494.92;573.33;534.93
1467;NOVA FRIBURGO;RJ;Estadual;Rural;72;529.54;577.32;504.97;499.9;562.78;534.9
1468;PIRAQUARA;PR;Privada;Urbana;7;523.17;580.57;493.13;480.34;597.14;534.87
1469;CAMACARI;BA;Privada;Urbana;158;537.72;572.49;510.96;488.49;564.3;534.79
1470;JABOTICATUBAS;MG;Municipal;Urbana;1;521.4;535.3;513.3;483.9;620.0;534.78
1471;MENDES;RJ;Privada;Urbana;10;558.56;552.93;519.76;489.89;552.0;534.63
1472;MARACACUME;MA;Privada;Urbana;5;532.52;559.96;473.58;475.0;632.0;534.61
1473;ROSARIO DO SUL;RS;Municipal;Urbana;1;485.3;638.2;495.3;533.7;520.0;534.5
1474;SANTA CECILIA DO SUL;RS;Estadual;Urbana;4;525.1;530.22;521.38;500.5;595.0;534.44
1475;JUQUIA;SP;Privada;Urbana;6;537.22;571.53;490.23;466.35;606.67;534.4
1476;MARACANAU;CE;Privada;Urbana;173;533.13;567.26;502.95;491.06;577.57;534.39
1477;CORRENTINA;BA;Privada;Urbana;25;524.63;558.93;514.65;524.67;548.8;534.34
1478;PARAGOMINAS;PA;Privada;Urbana;154;520.66;572.07;520.74;504.59;553.25;534.26
1479;LIMEIRA;SP;Estadual;Urbana;1570;535.26;565.35;506.45;520.71;543.1;534.17
1480;HORIZONTINA;RS;Privada;Urbana;86;527.36;564.69;510.27;516.39;551.63;534.07
1481;GAROPABA;SC;Privada;Urbana;7;548.69;568.31;498.43;528.99;525.71;534.03
1482;CIDADE GAUCHA;PR;Privada;Urbana;6;509.67;543.83;547.95;525.17;543.33;533.99
1483;PIRAI DO SUL;PR;Privada;Urbana;31;543.16;573.24;511.69;522.78;518.71;533.92
1484;CAPANEMA;PA;Privada;Urbana;135;528.28;570.53;512.24;488.27;569.93;533.85
1485;MOGI DAS CRUZES;SP;Municipal;Urbana;4;576.38;602.15;513.6;462.08;515.0;533.84
1486;BRACO DO NORTE;SC;Privada;Urbana;12;529.66;538.88;507.36;558.27;535.0;533.83
1487;BATATAIS;SP;Estadual;Urbana;318;536.68;570.85;507.52;504.24;549.87;533.83
1488;INDEPENDENCIA;CE;Privada;Rural;16;523.14;560.5;508.88;506.36;570.0;533.78
1489;NICOLAU VERGUEIRO;RS;Estadual;Urbana;10;518.62;542.19;499.9;524.15;584.0;533.77
1490;RIO AZUL;PR;Estadual;Rural;3;547.23;571.37;485.77;464.3;600.0;533.73
1491;DESTERRO DE ENTRE RIOS;MG;Estadual;Urbana;26;531.53;581.72;497.05;540.73;516.15;533.44
1492;PAULISTA;PE;Privada;Urbana;657;529.64;566.2;509.61;514.94;546.45;533.37
1493;EUCLIDES DA CUNHA;BA;Privada;Urbana;34;530.4;560.72;500.43;515.16;560.03;533.35
1494;BURITIZAL;SP;Estadual;Urbana;11;536.03;574.68;517.35;528.91;509.09;533.21
1495;SAO JOAO DE MERITI;RJ;Privada;Urbana;714;531.11;565.14;499.67;498.52;571.54;533.2
1496;JOAO MONLEVADE;MG;Estadual;Urbana;506;528.97;567.39;509.87;521.27;538.04;533.11
1497;IBAITI;PR;Privada;Urbana;17;502.74;555.29;515.49;559.95;531.76;533.05
1498;RUY BARBOSA;BA;Privada;Urbana;14;534.38;558.75;496.79;492.25;582.86;533.01
1499;MATO LEITAO;RS;Estadual;Urbana;28;521.78;569.48;498.26;510.85;564.29;532.93
1500;ITAITUBA;PA;Privada;Urbana;141;514.88;565.38;501.01;495.47;587.8;532.91
1501;CRATO;CE;Federal;Rural;55;519.45;568.13;521.89;519.44;535.64;532.91
1502;ADUSTINA;BA;Municipal;Urbana;22;530.85;571.69;506.41;476.49;579.09;532.91
1503;SENADOR FIRMINO;MG;Estadual;Urbana;44;516.72;567.14;494.22;521.45;565.0;532.9
1504;ARARIPINA;PE;Privada;Urbana;104;523.65;560.35;499.25;503.89;577.31;532.89
1505;SANTALUZ;BA;Privada;Urbana;16;548.26;590.21;495.77;506.41;523.75;532.88
1506;CASCAVEL;CE;Privada;Urbana;89;519.89;559.81;499.9;496.2;588.54;532.87
1507;SAO JOSE DO INHACORA;RS;Estadual;Urbana;20;520.16;555.13;516.21;526.59;546.0;532.82
1508;RIO VERDE DE MATO GROSSO;MS;Privada;Urbana;6;519.63;537.75;499.57;516.58;590.0;532.71
1509;MARANGUAPE;CE;Privada;Urbana;106;523.58;554.95;508.6;500.63;575.28;532.61
1510;CERRO GRANDE;RS;Estadual;Urbana;8;520.25;571.81;523.74;504.64;542.5;532.59
1511;MARAGOGI;AL;Federal;Urbana;60;516.55;568.71;505.32;498.58;573.67;532.57
1512;SANTA INES;MA;Privada;Urbana;162;528.62;569.53;508.66;485.68;570.37;532.57
1513;RIO GRANDE;RS;Municipal;Urbana;3;536.77;568.23;544.83;472.8;540.0;532.53
1514;SANTANA DO IPANEMA;AL;Federal;Urbana;13;537.0;568.76;517.32;462.28;576.92;532.46
1515;ARAUCARIA;PR;Privada;Urbana;123;537.38;572.5;504.14;500.43;547.8;532.45
1516;CATU;BA;Privada;Urbana;25;525.56;566.19;488.68;496.87;584.8;532.42
1517;JAGUARARI;BA;Privada;Urbana;49;523.05;563.0;507.43;496.68;571.84;532.4
1518;EDEIA;GO;Privada;Urbana;12;523.7;549.7;509.82;530.34;548.33;532.38
1519;SALINOPOLIS;PA;Privada;Urbana;26;515.08;579.42;519.43;495.65;552.31;532.38
