POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
7841;BARBALHA;CE;Estadual;Rural;48;464.1;494.41;441.66;423.81;423.33;449.46
7842;MUITOS CAPOES;RS;Estadual;Urbana;6;466.87;451.0;431.63;401.15;496.67;449.46
7843;CRAVOLANDIA;BA;Estadual;Urbana;19;451.42;512.96;444.53;405.65;432.63;449.44
7844;MANGARATIBA;RJ;Municipal;Urbana;5;452.68;548.52;449.26;452.74;344.0;449.44
7845;LAGO DO JUNCO;MA;Estadual;Urbana;40;472.94;502.38;440.26;414.55;417.0;449.43
7846;CARAUARI;AM;Estadual;Urbana;159;458.41;506.01;442.3;412.96;427.42;449.42
7847;PACO DO LUMIAR;MA;Estadual;Rural;101;463.47;502.76;447.6;423.31;409.9;449.41
7848;NORMANDIA;RR;Estadual;Urbana;14;436.04;480.1;454.44;424.98;451.43;449.4
7849;OLHO D AGUA;PB;Estadual;Urbana;30;477.77;502.69;431.3;420.5;414.67;449.39
7850;SANTA CRUZ;RN;Estadual;Urbana;144;466.59;505.0;436.43;419.2;419.72;449.39
7851;RUBELITA;MG;Municipal;Urbana;1;435.6;476.5;484.3;430.5;420.0;449.38
7852;JUSSIAPE;BA;Estadual;Urbana;16;467.16;497.64;447.46;430.86;403.75;449.37
7853;CATANDUVA;SP;Municipal;Urbana;6;496.63;505.55;449.85;428.15;366.67;449.37
7854;PINDOBACU;BA;Estadual;Rural;21;449.66;511.32;447.06;398.75;440.0;449.36
7855;SAO JOSE DO SABUGI;PB;Estadual;Urbana;39;456.17;493.08;441.85;428.51;427.18;449.36
7856;SAO RAIMUNDO NONATO;PI;Estadual;Urbana;289;464.54;504.49;449.5;424.86;403.32;449.34
7857;CRISTOPOLIS;BA;Estadual;Urbana;80;460.8;501.76;444.29;424.36;415.5;449.34
7858;ZE DOCA;MA;Estadual;Urbana;160;468.41;504.5;446.4;416.76;410.25;449.26
7859;BERTOLINIA;PI;Estadual;Urbana;41;460.75;508.02;457.89;412.54;406.83;449.21
7860;SERRINHA;RN;Estadual;Urbana;28;470.4;507.01;437.09;445.06;386.43;449.2
7861;QUILOMBO;SC;Estadual;Rural;18;459.38;499.07;452.78;431.38;403.33;449.19
7862;SAO LUIS DO QUITUNDE;AL;Estadual;Urbana;77;463.07;502.04;445.8;418.89;416.1;449.18
7863;TRIUNFO;PB;Estadual;Urbana;49;459.26;496.03;436.24;412.68;441.63;449.17
7864;CORIBE;BA;Estadual;Urbana;72;464.44;497.98;460.58;427.87;395.0;449.17
7865;ANTAS;BA;Estadual;Urbana;32;463.9;496.43;454.03;420.76;410.62;449.15
7866;ITAETE;BA;Estadual;Urbana;29;470.09;503.07;429.48;427.95;415.17;449.15
7867;ESPLANADA;BA;Estadual;Urbana;118;469.92;501.73;450.68;433.69;389.66;449.14
7868;ITAPORANGA;PB;Estadual;Urbana;99;461.31;498.59;448.73;421.93;415.15;449.14
7869;AQUIRAZ;CE;Estadual;Rural;99;471.51;505.49;435.25;417.09;416.36;449.14
7870;PEDRAS ALTAS;RS;Estadual;Urbana;10;461.39;501.28;412.51;418.44;452.0;449.12
7871;BREJINHO;RN;Estadual;Urbana;77;465.98;507.16;452.91;414.39;404.94;449.07
7872;SAO RAFAEL;RN;Estadual;Urbana;58;462.45;497.35;448.32;424.77;412.41;449.06
7873;TERRA SANTA;PA;Estadual;Urbana;73;453.56;493.09;438.76;410.83;449.04;449.06
7874;DOMINGOS MARTINS;ES;Municipal;Urbana;13;457.45;487.55;453.23;434.78;412.31;449.06
7875;OUREM;PA;Estadual;Urbana;122;464.18;498.38;442.39;414.25;426.07;449.05
7876;SAO MIGUEL DO TAPUIO;PI;Estadual;Urbana;59;467.11;495.15;447.63;413.96;421.36;449.04
7877;PRESIDENTE PRUDENTE;SP;Municipal;Urbana;5;481.22;485.82;415.98;410.14;452.0;449.03
7878;BOM PRINCIPIO DO PIAUI;PI;Estadual;Urbana;25;460.95;493.76;458.06;429.15;403.2;449.02
7879;BORBA;AM;Estadual;Urbana;159;460.23;495.75;443.1;415.56;430.31;448.99
7880;ITAQUIRAI;MS;Privada;Rural;12;458.11;518.27;484.2;434.33;350.0;448.98
7881;GRANJEIRO;CE;Estadual;Urbana;59;465.4;499.45;454.6;426.44;398.98;448.98
7882;CRISTINAPOLIS;SE;Estadual;Urbana;67;460.06;493.53;449.46;432.18;409.61;448.97
