POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
140;Pouso Alegre;MG;Privada;239;563.64;590.55;570.34;647.6;797.99;634.03
141;Carmo de Minas;MG;Federal;25;575.16;585.47;576.75;662.95;769.6;633.98
142;Leopoldina;MG;Federal;58;568.3;607.88;575.29;671.57;745.17;633.64
143;Governador Valadares;MG;Privada;275;562.06;581.59;556.76;649.79;817.16;633.47
144;Nova Candelária;RS;Estadual;1;610.5;627.2;593.5;695.8;640.0;633.4
145;Nova Prata;RS;Privada;17;561.78;567.05;542.46;600.18;895.29;633.35
146;Sete Lagoas;MG;Privada;339;564.77;592.06;559.21;648.76;801.65;633.29
147;Pouso Alegre;MG;Federal;58;580.65;605.33;533.57;660.98;785.86;633.28
148;Teofilândia;BA;Privada;37;561.67;581.7;545.35;635.86;841.08;633.13
149;Santa Luzia;MG;Federal;46;583.89;609.13;555.12;656.67;760.43;633.05
150;Congonhas;MG;Federal;82;570.14;602.34;573.55;664.46;754.15;632.93
151;Ribeirão das Neves;MG;Federal;78;569.94;602.86;565.13;642.01;784.62;632.91
152;Maravilha;SC;Privada;7;590.07;621.39;610.56;664.86;677.14;632.8
153;Marechal Cândido Rondon;PR;Privada;100;559.08;579.51;567.68;653.81;802.4;632.5
154;Guapimirim;RJ;Privada;17;556.81;569.57;558.75;657.19;820.0;632.46
155;João Monlevade;MG;Privada;100;552.83;583.03;569.57;650.44;805.8;632.33
156;Bataguassu;MS;Privada;1;633.9;709.7;585.4;632.6;600.0;632.32
157;Espera Feliz;MG;Privada;20;574.74;615.01;554.69;636.03;781.0;632.29
158;São Lourenço;MG;Privada;83;568.82;593.09;558.8;644.67;795.66;632.21
159;Três Corações;MG;Privada;76;567.94;583.6;557.43;635.97;815.26;632.04
160;Bento Gonçalves;RS;Federal;101;582.78;605.49;565.51;649.35;756.24;631.87
161;Piracicaba;SP;Federal;44;576.5;606.3;567.01;635.25;773.18;631.65
162;Aricanduva;MG;Estadual;2;565.55;569.15;592.7;529.15;900.0;631.31
163;Comodoro;MT;Privada;2;621.75;546.3;606.8;601.2;780.0;631.21
164;Lavras;MG;Privada;252;560.91;593.53;557.74;639.5;804.21;631.18
165;Cerro Largo;RS;Privada;28;559.16;585.43;578.55;647.97;784.29;631.08
166;Itabira;MG;Privada;106;565.82;590.52;555.36;652.44;791.13;631.05
167;Tucano;BA;Privada;24;575.38;596.23;571.51;641.38;768.33;630.57
168;Formiga;MG;Privada;80;558.08;589.43;552.68;645.17;806.0;630.27
169;Santa Cruz das Palmeiras;SP;Privada;43;558.68;587.19;587.84;636.84;779.53;630.02
170;Colíder;MT;Privada;5;530.56;568.52;598.76;691.98;760.0;629.96
171;Bady Bassitt;SP;Privada;6;566.57;571.87;601.57;632.27;776.67;629.79
172;Ponte Nova;MG;Federal;65;579.54;613.72;557.85;653.5;744.0;629.72
173;Três Marias;MG;Privada;8;550.08;575.05;570.38;635.54;817.5;629.71
174;São Miguel Arcanjo;SP;Privada;7;579.26;566.49;574.16;625.03;802.86;629.56
175;Manhuaçu;MG;Privada;103;554.85;582.71;568.4;642.4;799.42;629.55
176;Batalha;PI;Privada;4;537.58;555.08;559.5;643.35;850.0;629.1
177;Guaratuba;PR;Privada;14;583.53;614.69;568.41;646.04;732.86;629.1
178;Lagoa Santa;MG;Privada;81;565.23;591.96;551.9;649.14;787.16;629.08
